company_name,service_category,service_subcategory,website,website_final_url,website_status,website_http_status,domain,domain_has_dns,domain_has_mx,email,email_source_url,email_is_public,email_is_role_based,email_syntax_valid,email_domain_matches_website,email_domain_has_mx,email_verification_status,phone,phone_e164,phone_valid,street_address,city,state,postal_code,country,source_name,source_url,source_record_id,date_collected,date_verified,robots_allowed,confidence_score,notes
DuAll Heating & Cooling,hvac,,https://www.duallheating.com/,https://www.duallheating.com/,active,200.0,duallheating.com,True,True,,,,,,,,,(776) 653-3783,,False,419 Foxborough Trail,Bolingbrook,IN,60440,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4131225500,osm_node_4131225500,2026-08-04 18:37:48.673279,2026-08-04 18:53:00.001387,True,60,
Earl's Heating & Air Conditioning,hvac,,https://www.earlsheating.com/,https://www.earlsheating.com/,active,200.0,earlsheating.com,True,True,,,,,,,,,(219) 942-9023,+12199429023,True,5050 W 81st Ave,Schererville,IN,46375,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4165654794,osm_node_4165654794,2026-08-04 18:37:48.673355,2026-08-04 18:53:01.097545,True,75,
Addit Heating & Air Conditioning,hvac,,https://additheating.com/,https://additheating.com/,active,200.0,additheating.com,True,False,,,,,,,,,+1-708-672-8089,+17086728089,True,3581 Huntley Terrace,Crete,IN,60417,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4558317805,osm_node_4558317805,2026-08-04 18:37:48.673432,2026-08-04 18:53:02.219155,True,65,
Air Source 1 Heating & Air Conditioning,hvac,,https://as1air.com/,,inaccessible,,as1air.com,False,False,,,,,,,,,+1-708-990-8965,+17089908965,True,7649 Jamison Drive,Frankfort,IN,60423,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4586515441,osm_node_4586515441,2026-08-04 18:37:48.673511,2026-08-04 18:53:02.341430,True,35,
Blythe Heating & Cooling,hvac,,https://blytheheating.com/,https://www.blytheheating.com/,redirected,200.0,blytheheating.com,True,False,,,,,,,,,(317) 828-1795,+13178281795,True,8733 Gunpowder Drive,Indianapolis,IN,46256,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4599341225,osm_node_4599341225,2026-08-04 18:37:48.673584,2026-08-04 18:53:05.609592,True,55,
New Circle Mechanical,hvac,,http://newcirclemechanical.net,https://www.newcirclemechanical.net/,redirected,200.0,newcirclemechanical.net,True,False,,,,,,,,,(102) 066-9034,,False,206 Old Harrods Creek Rd Bldg 3B,Louisville,IN,40223,US,openstreetmap_overpass,https://www.openstreetmap.org/node/4611246492,osm_node_4611246492,2026-08-04 18:37:48.673657,2026-08-04 18:53:07.545714,True,40,
"Blackburn and Davis, Inc.",hvac,,https://www.blackburnanddavis.com/,https://www.blackburnanddavis.com/,blocked_by_robots,403.0,blackburnanddavis.com,True,True,,,,,,,,,+1 502 378 7381,+15023787381,True,2222 Frankfort Avenue,Louisville,IN,40206,US,openstreetmap_overpass,https://www.openstreetmap.org/node/5649559521,osm_node_5649559521,2026-08-04 18:37:48.673801,2026-08-04 18:53:08.496939,True,55,
All Season Inc,hvac,,https://allseasonheatingandcooling.com/,,inaccessible,,allseasonheatingandcooling.com,False,False,,,,,,,,,+1-574-936-2173,+15749362173,True,4669 Michigan Road,Plymouth,IN,46563,US,openstreetmap_overpass,https://www.openstreetmap.org/node/5794972539,osm_node_5794972539,2026-08-04 18:37:48.673877,2026-08-04 18:53:08.707148,True,35,
HAS Services,hvac,,https://www.hasservs.com/,https://www.hasservs.com/,active,200.0,hasservs.com,True,True,kp@hasservs.com,https://www.hasservs.com/,True,False,True,True,True,public_business_address_verified_domain,(789) 984-7359,,False,9306 West Dralle Road,Frankfort,IN,60423,US,openstreetmap_overpass,https://www.openstreetmap.org/node/7026760694,osm_node_7026760694,2026-08-04 18:37:48.674093,2026-08-04 18:53:09.746334,True,78,
"Perfection Heating, Air Conditioning & Refrigeration",hvac,,https://www.perfectionhvac.com,https://www.perfectionhvac.com/,active,200.0,perfectionhvac.com,True,True,info@perfectionhvac.com,https://www.perfectionhvac.com/contact-us/,True,True,True,True,True,public_role_address_verified_domain,(996) 243-5408,,False,"525 S Barker Ave,",Evansville,IN,47712,US,openstreetmap_overpass,https://www.openstreetmap.org/node/11011835796,osm_node_11011835796,2026-08-04 18:37:48.674530,2026-08-04 18:53:10.743691,True,85,
